# input folder
/Users/sivers/GitHub/test_sample/simulated_efficiencies/
# isotope	energy (keV)	Geant4 BR	NuDat BR	width signal region (keV)	width bkg region (keV)	flag
Pa234m	1001.0	1	0.00842	0.4	10.	1	
U235	185.7	1	0.570	0.4	10.	1
Th234	63.3	1	0.037	0.4	10.	1
Th234	92.6 	1	0.0423 	1.2	10.	1
Pb214	295.2	0.18746	0.1842	0.4	10.	0
Pb214	351.9	0.3688	0.3560	0.4	10.	0
Bi214	609.3	0.46075	0.4549	0.4	10.	0
Bi214	1120.3	0.15268	0.1492	0.4	10.	0
Bi214	1764.5	0.15344	0.1530	0.4	10.	0
Ac228	911.2	0.2475	0.258	0.4	10.	0
Ac228	969.0	0.15151	0.158	0.4	10.	0
Pb212	238.6	0.4299	0.436	0.4	10.	0
Bi212	727.3	0.06556	0.0667	0.4	10.	0
Tl208	583.2	0.8494	0.3055	0.4	10.	0
Tl208	2614.5	0.9985	0.3585	0.4	10.	0
Cs137	661.7	0.84796	0.8510	0.4	10.	0
Co60	1173.2	0.99863	0.9985	0.4	10.	0
Co60	1332.5	0.99978	0.999826	0.4	10.	0
K40	1460.8	0.10397	0.1066	0.4	10.	0
Mn54	834.8	0.99975	0.999760	0.4	10.	0
Na22	1274.5	0.9994	0.99940	0.4	10.	0
Ti44	67.9	0.91996	0.930	0.4	10.	0
Ti44	78.3	0.9667	0.964	0.4	10.	0
Al26	1808.7	0.97856	0.9976	0.4	10.	0
